time,source,sink
1894,111.1,37.2
1895,110.9,37.2
1896,110.8,37.3
1897,111.1,37.3
1898,111.2,37.3
1899,111.3,37.4
1900,111.4,37.5
1901,111.4,37.5
1902,111.2,37.5
1903,111.6,37.5
1904,111.6,37.4
1905,111.7,37.4
1906,111.9,37.5
1907,111.8,37.3
1908,111.7,37.3
1909,111.6,37.3
1910,111.6,37.4
1911,111.9,37.3
1912,112,37.2
1913,111.9,37.2
1914,112,37.4
1915,111.9,37.4
1916,112.1,37.5
1917,112.3,37.3
1918,112.4,37.2
1919,112.3,37.5
1920,112.1,37.6
1921,111.4,37.6
1922,110.9,37.6
1923,111.5,37.5
1924,111.6,37.6
1925,111.6,37.5
1926,111.7,37.5
1927,111.8,37.3
1928,111.6,37.2
1929,111.7,37.2
1930,111.6,37.3
1931,111.3,37.2
1932,111.1,37.2
1933,111.1,37.2
1934,111.3,37.3
1935,111.4,37.3
1936,111.5,37.4
1937,111.7,37.5
1938,111.6,37.5
1939,111.5,37.6
1940,111.6,37.7
1941,111.5,37.7
1942,111.4,37.7
1943,111.5,37.7
1944,111.5,37.7
1945,111.5,37.6
1946,111.5,37.6
1947,111.4,37.6
1948,111.4,37.7
1949,111.4,37.7
1950,111.5,37.7
1951,111.5,37.7
1952,111.5,37.8
1953,111.5,37.7
1954,111.4,37.8
1955,111.3,37.7
1956,111.2,37.8
1957,111.1,37.8
1958,111.2,37.8
1959,111.1,38
1960,111.2,37.9
1961,111.3,37.9
1962,111.2,37.8
1963,111.4,37.8
1964,111.5,37.8
1965,111.5,37.7
1966,111.5,37.8
1967,111.5,37.7
1968,111.6,37.7
1969,111.7,37.6
1970,111.7,37.7
1971,111.6,37.6
1972,111.6,37.6
1973,111.6,37.6
1974,111.6,37.6
1975,111.6,37.5
1976,111.5,37.6
1977,111.5,37.6
1978,111.6,37.5
1979,111.7,37.5
1980,111.7,37.4
1981,111.5,37.5
1982,111.6,37.4
1983,111.7,37.6
1984,111.6,37.6
1985,111.9,37.7
1986,112,37.8
1987,111.9,37.7
1988,111.8,37.7
1989,111.8,37.6
1990,111.9,37.5
1991,111.8,37.4
1992,111.6,37.4
1993,111.7,37.6
1994,111.8,37.6
1995,111.6,37.7
1996,111.6,37.8
1997,111.7,37.8
1998,111.7,37.8
1999,111.8,37.8
2000,111.6,37.9
2001,111.6,37.9
2002,111.7,37.7
2003,111.9,37.7
2004,112,37.7
2005,112,37.9
2006,112,37.9
